date_id,region,generation,value
274,Austria,Biomass,124
275,Austria,Biomass,168
276,Austria,Biomass,96
277,Austria,Biomass,96
278,Austria,Biomass,96
279,Austria,Biomass,96
280,Austria,Biomass,96
281,Austria,Biomass,134
282,Austria,Biomass,168
283,Austria,Biomass,96
284,Austria,Biomass,96
285,Austria,Biomass,96
286,Austria,Biomass,96
287,Austria,Biomass,96
288,Austria,Biomass,124
289,Austria,Biomass,168
290,Austria,Biomass,96
291,Austria,Biomass,96
292,Austria,Biomass,97
293,Austria,Biomass,96
294,Austria,Biomass,96
295,Austria,Biomass,135
296,Austria,Biomass,166
297,Austria,Biomass,96
298,Austria,Biomass,118
299,Austria,Biomass,156
300,Austria,Biomass,96
301,Austria,Biomass,96
302,Austria,Biomass,156
303,Austria,Biomass,172
304,Austria,Biomass,336
305,Austria,Biomass,6228
306,Austria,Biomass,6173
307,Austria,Biomass,6343
308,Austria,Biomass,6053
309,Austria,Biomass,6024
310,Austria,Biomass,6200
311,Austria,Biomass,5880
312,Austria,Biomass,6068
313,Austria,Biomass,6107
314,Austria,Biomass,6117
315,Austria,Biomass,6073
316,Austria,Biomass,6159
317,Austria,Biomass,6198
318,Austria,Biomass,6037
319,Austria,Biomass,5906
320,Austria,Biomass,5792
321,Austria,Biomass,5490
322,Austria,Biomass,5498
323,Austria,Biomass,5657
324,Austria,Biomass,5671
325,Austria,Biomass,5572
326,Austria,Biomass,5856
327,Austria,Biomass,5846
328,Austria,Biomass,5512
329,Austria,Biomass,5536
330,Austria,Biomass,5806
331,Austria,Biomass,5834
332,Austria,Biomass,5684
333,Austria,Biomass,5649
334,Austria,Biomass,5989
335,Austria,Biomass,5908
336,Austria,Biomass,5712
337,Austria,Biomass,5855
338,Austria,Biomass,5744
339,Austria,Biomass,5643
340,Austria,Biomass,5978
341,Austria,Biomass,6326
342,Austria,Biomass,5643
343,Austria,Biomass,5371
344,Austria,Biomass,5685
345,Austria,Biomass,5670
346,Austria,Biomass,5481
347,Austria,Biomass,5214
348,Austria,Biomass,5560
349,Austria,Biomass,6410
350,Austria,Biomass,6488
351,Austria,Biomass,5342
352,Austria,Biomass,5393
353,Austria,Biomass,5604
354,Austria,Biomass,5570
355,Austria,Biomass,5574
356,Austria,Biomass,5783
357,Austria,Biomass,5779
358,Austria,Biomass,5701
359,Austria,Biomass,5836
360,Austria,Biomass,5827
361,Austria,Biomass,5836
362,Austria,Biomass,5821
363,Austria,Biomass,5811
364,Austria,Biomass,5675
365,Austria,Biomass,240
274,Austria,Dam Hydro,9135.75
275,Austria,Dam Hydro,12577
276,Austria,Dam Hydro,17005.25
277,Austria,Dam Hydro,17991.75
278,Austria,Dam Hydro,9142.25
279,Austria,Dam Hydro,13721.25
280,Austria,Dam Hydro,13820.5
281,Austria,Dam Hydro,9144
282,Austria,Dam Hydro,7261.5
283,Austria,Dam Hydro,9250.75
284,Austria,Dam Hydro,13390.25
285,Austria,Dam Hydro,12565.5
286,Austria,Dam Hydro,14587.25
287,Austria,Dam Hydro,12758
288,Austria,Dam Hydro,6168
289,Austria,Dam Hydro,6372
290,Austria,Dam Hydro,6810.5
291,Austria,Dam Hydro,8215.75
292,Austria,Dam Hydro,6925.25
293,Austria,Dam Hydro,8853.5
294,Austria,Dam Hydro,9436.5
295,Austria,Dam Hydro,6894.75
296,Austria,Dam Hydro,5041
297,Austria,Dam Hydro,8418.5
298,Austria,Dam Hydro,7470.5
299,Austria,Dam Hydro,6638.25
300,Austria,Dam Hydro,9670.25
301,Austria,Dam Hydro,8582.5
302,Austria,Dam Hydro,6151
303,Austria,Dam Hydro,8937
304,Austria,Dam Hydro,15712
305,Austria,Dam Hydro,6728.5
306,Austria,Dam Hydro,10672.75
307,Austria,Dam Hydro,9040
308,Austria,Dam Hydro,11920.75
309,Austria,Dam Hydro,3521.75
310,Austria,Dam Hydro,4777
311,Austria,Dam Hydro,6145
312,Austria,Dam Hydro,7440
313,Austria,Dam Hydro,12141.75
314,Austria,Dam Hydro,12223.75
315,Austria,Dam Hydro,9680.75
316,Austria,Dam Hydro,6757.75
317,Austria,Dam Hydro,4793.25
318,Austria,Dam Hydro,10146.5
319,Austria,Dam Hydro,11791.5
320,Austria,Dam Hydro,9166.25
321,Austria,Dam Hydro,5133.75
322,Austria,Dam Hydro,6829.25
323,Austria,Dam Hydro,3592.25
324,Austria,Dam Hydro,3090.5
325,Austria,Dam Hydro,11388.25
326,Austria,Dam Hydro,9031
327,Austria,Dam Hydro,9039.25
328,Austria,Dam Hydro,11091.5
329,Austria,Dam Hydro,8712.25
330,Austria,Dam Hydro,2233.75
331,Austria,Dam Hydro,2835
332,Austria,Dam Hydro,6069.5
333,Austria,Dam Hydro,14776
334,Austria,Dam Hydro,15140.25
335,Austria,Dam Hydro,10625
336,Austria,Dam Hydro,9670.75
